date,key,value
2022-12-31,FIND Sars-CoV-2 Test tracker,0
2023-01-01,FIND Sars-CoV-2 Test tracker,0
2023-01-02,FIND Sars-CoV-2 Test tracker,3
2023-01-03,FIND Sars-CoV-2 Test tracker,12
2023-01-04,FIND Sars-CoV-2 Test tracker,12
2023-01-05,FIND Sars-CoV-2 Test tracker,1
2023-01-06,FIND Sars-CoV-2 Test tracker,16
2023-01-07,FIND Sars-CoV-2 Test tracker,5
2023-01-08,FIND Sars-CoV-2 Test tracker,0
2023-01-09,FIND Sars-CoV-2 Test tracker,17
2023-01-10,FIND Sars-CoV-2 Test tracker,33
2023-01-11,FIND Sars-CoV-2 Test tracker,23
2022-12-31,FIND Sars-CoV-2 Policy dashboard,0
2023-01-01,FIND Sars-CoV-2 Policy dashboard,0
2023-01-02,FIND Sars-CoV-2 Policy dashboard,9
2023-01-03,FIND Sars-CoV-2 Policy dashboard,2
2023-01-04,FIND Sars-CoV-2 Policy dashboard,1
2023-01-05,FIND Sars-CoV-2 Policy dashboard,1
2023-01-06,FIND Sars-CoV-2 Policy dashboard,4
2023-01-07,FIND Sars-CoV-2 Policy dashboard,1
2023-01-08,FIND Sars-CoV-2 Policy dashboard,1
2023-01-09,FIND Sars-CoV-2 Policy dashboard,3
2023-01-10,FIND Sars-CoV-2 Policy dashboard,4
2023-01-11,FIND Sars-CoV-2 Policy dashboard,6
2022-12-31,FIND Test directory (COVID-19),0
2023-01-01,FIND Test directory (COVID-19),2
2023-01-02,FIND Test directory (COVID-19),14
2023-01-03,FIND Test directory (COVID-19),28
2023-01-04,FIND Test directory (COVID-19),21
2023-01-05,FIND Test directory (COVID-19),27
2023-01-06,FIND Test directory (COVID-19),18
2023-01-07,FIND Test directory (COVID-19),2
2023-01-08,FIND Test directory (COVID-19),4
2023-01-09,FIND Test directory (COVID-19),30
2023-01-10,FIND Test directory (COVID-19),26
2023-01-11,FIND Test directory (COVID-19),60
2022-12-31,FIND Test directory (NTDs),0
2023-01-01,FIND Test directory (NTDs),0
2023-01-02,FIND Test directory (NTDs),1
2023-01-03,FIND Test directory (NTDs),5
2023-01-04,FIND Test directory (NTDs),16
2023-01-05,FIND Test directory (NTDs),10
2023-01-06,FIND Test directory (NTDs),13
2023-01-07,FIND Test directory (NTDs),1
2023-01-08,FIND Test directory (NTDs),4
2023-01-09,FIND Test directory (NTDs),12
2023-01-10,FIND Test directory (NTDs),28
2023-01-11,FIND Test directory (NTDs),7
2022-12-31,FIND Test directory (Ebola),0
2023-01-01,FIND Test directory (Ebola),0
2023-01-02,FIND Test directory (Ebola),0
2023-01-03,FIND Test directory (Ebola),2
2023-01-04,FIND Test directory (Ebola),1
2023-01-05,FIND Test directory (Ebola),1
2023-01-06,FIND Test directory (Ebola),0
2023-01-07,FIND Test directory (Ebola),2
2023-01-08,FIND Test directory (Ebola),0
2023-01-09,FIND Test directory (Ebola),3
2023-01-10,FIND Test directory (Ebola),0
2023-01-11,FIND Test directory (Ebola),4
2022-12-31,FIND Test directory (Monkeypox),0
2023-01-01,FIND Test directory (Monkeypox),0
2023-01-02,FIND Test directory (Monkeypox),10
2023-01-03,FIND Test directory (Monkeypox),6
2023-01-04,FIND Test directory (Monkeypox),11
2023-01-05,FIND Test directory (Monkeypox),5
2023-01-06,FIND Test directory (Monkeypox),10
2023-01-07,FIND Test directory (Monkeypox),2
2023-01-08,FIND Test directory (Monkeypox),0
2023-01-09,FIND Test directory (Monkeypox),7
2023-01-10,FIND Test directory (Monkeypox),16
2023-01-11,FIND Test directory (Monkeypox),3
2022-12-31,FIND EQA directory (COVID-19),0
2023-01-01,FIND EQA directory (COVID-19),0
2023-01-02,FIND EQA directory (COVID-19),0
2023-01-03,FIND EQA directory (COVID-19),0
2023-01-04,FIND EQA directory (COVID-19),3
2023-01-05,FIND EQA directory (COVID-19),2
2023-01-06,FIND EQA directory (COVID-19),0
2023-01-07,FIND EQA directory (COVID-19),0
2023-01-08,FIND EQA directory (COVID-19),0
2023-01-09,FIND EQA directory (COVID-19),11
2023-01-10,FIND EQA directory (COVID-19),13
2023-01-11,FIND EQA directory (COVID-19),1
2022-12-31,FIND NGS Capacity (COVID-19),0
2023-01-01,FIND NGS Capacity (COVID-19),0
2023-01-02,FIND NGS Capacity (COVID-19),0
2023-01-03,FIND NGS Capacity (COVID-19),1
2023-01-04,FIND NGS Capacity (COVID-19),2
2023-01-05,FIND NGS Capacity (COVID-19),1
2023-01-06,FIND NGS Capacity (COVID-19),3
2023-01-07,FIND NGS Capacity (COVID-19),0
2023-01-08,FIND NGS Capacity (COVID-19),0
2023-01-09,FIND NGS Capacity (COVID-19),5
2023-01-10,FIND NGS Capacity (COVID-19),21
2023-01-11,FIND NGS Capacity (COVID-19),19
