date,application,page_views
2020-07-06,FIND Test directory (Monkeypox),0
2020-07-06,FIND Test directory (NTDs),0
2020-07-13,FIND EQA directory (COVID-19),0
2020-07-13,FIND Test directory (COVID-19),0
2020-07-13,FIND Test directory (Ebola),0
2020-07-13,FIND Test directory (Monkeypox),0
2020-07-13,FIND Test directory (NTDs),0
2020-07-20,FIND EQA directory (COVID-19),0
2020-07-20,FIND Test directory (COVID-19),0
2020-07-20,FIND Test directory (Ebola),0
2020-07-20,FIND Test directory (Monkeypox),0
2020-07-20,FIND Test directory (NTDs),0
2020-07-27,FIND EQA directory (COVID-19),0
2020-07-27,FIND Test directory (COVID-19),0
2020-07-27,FIND Test directory (Ebola),0
2020-07-27,FIND Test directory (Monkeypox),0
2020-07-27,FIND Test directory (NTDs),0
2020-08-03,FIND EQA directory (COVID-19),0
2020-08-03,FIND Test directory (COVID-19),0
2020-08-03,FIND Test directory (Ebola),0
2020-08-03,FIND Test directory (Monkeypox),0
2020-08-03,FIND Test directory (NTDs),0
2020-08-10,FIND EQA directory (COVID-19),0
2020-08-10,FIND Test directory (COVID-19),0
2020-08-10,FIND Test directory (Ebola),0
2020-08-10,FIND Test directory (Monkeypox),0
2020-08-10,FIND Test directory (NTDs),0
2020-08-17,FIND EQA directory (COVID-19),0
2020-08-17,FIND Test directory (COVID-19),0
2020-08-17,FIND Test directory (Ebola),0
2020-08-17,FIND Test directory (Monkeypox),0
2020-08-17,FIND Test directory (NTDs),0
2020-08-24,FIND EQA directory (COVID-19),0
2020-08-24,FIND Test directory (COVID-19),0
2020-08-24,FIND Test directory (Ebola),0
2020-08-24,FIND Test directory (Monkeypox),0
2020-08-24,FIND Test directory (NTDs),0
2020-08-31,FIND EQA directory (COVID-19),0
2020-08-31,FIND Test directory (COVID-19),0
2020-08-31,FIND Test directory (Ebola),0
2020-08-31,FIND Test directory (Monkeypox),0
2020-08-31,FIND Test directory (NTDs),0
2020-09-07,FIND EQA directory (COVID-19),0
2020-09-07,FIND Test directory (COVID-19),0
2020-09-07,FIND Test directory (Ebola),0
2020-09-07,FIND Test directory (Monkeypox),0
2020-09-07,FIND Test directory (NTDs),0
2020-09-14,FIND EQA directory (COVID-19),0
2020-09-14,FIND Test directory (COVID-19),0
2020-09-14,FIND Test directory (Ebola),0
2020-09-14,FIND Test directory (Monkeypox),0
2020-09-14,FIND Test directory (NTDs),0
2020-09-21,FIND EQA directory (COVID-19),0
2020-09-21,FIND Test directory (COVID-19),0
2020-09-21,FIND Test directory (Ebola),0
2020-09-21,FIND Test directory (Monkeypox),0
2020-09-21,FIND Test directory (NTDs),0
2020-09-28,FIND EQA directory (COVID-19),0
2020-09-28,FIND Test directory (COVID-19),0
2020-09-28,FIND Test directory (Ebola),0
2020-09-28,FIND Test directory (Monkeypox),0
2020-09-28,FIND Test directory (NTDs),0
2020-10-05,FIND EQA directory (COVID-19),0
2020-10-05,FIND Test directory (COVID-19),0
2020-10-05,FIND Test directory (Ebola),0
2020-10-05,FIND Test directory (Monkeypox),0
2020-10-05,FIND Test directory (NTDs),0
